id,username,followers,friends_count,statuses_count,favourites_count,listed_count,mentions,retweets,source,p_follow,p_retweet,p_mention,weighted
31186367,PlanMaestro,1751,407,12105,256,97,20,6,web,91,259,417,767
339750414,SheilaD_TV,7591,689,3207,4,242,2,2,Twitter for iPhone,284,83,108,475
34939208,BarbarianCap,4166,924,29686,58,173,4,2,Twitter for iPad,196,83,240,519
232120274,Jesse_Livermore,4841,932,26311,534,159,2,3,web,220,150,108,478
511525987,thebarbecuemast,23218,22768,66870,15384,66,5,1,web,408,1,264,673
263197731,ScottWapnerCNBC,10847,93,1167,1,199,17,1,TweetDeck,332,1,400,733
54879118,biggercapital,7403,1360,16406,1895,314,2,2,Tweet Button,279,83,108,470
2511641,robpas,4662,2329,15954,74,197,2,3,Twitter for iPhone,216,150,108,474
40533912,MSN_Money,52158,11273,7459,10,1108,1,2,Buffer,455,83,1,539
205789121,MONEY,50392,994,6577,1,1166,1,2,HootSuite,454,83,1,538
87500545,ConfidentInvest,16289,13648,3795,2,306,5,1,HootSuite,378,1,264,643
20800915,zerosum24,3113,410,19274,79,88,2,6,StockTwits Web,154,259,108,521
27105334,HughesNews,3288,1222,3239,11,134,2,5,TweetDeck,161,231,108,500
211951561,HedgeyeENERGY,3345,676,7334,4,123,5,2,TweetDeck,166,83,264,513
16969038,chrisbeanie1,21283,9673,13574,3,162,4,1,web,403,1,240,644
16080467,geckler,3572,3,33856,32,246,2,4,Echofon,178,195,108,481
21758900,fuinhaz,2204,59,24444,5,100,4,5,StockTwits Web,115,231,240,586
19337489,BrianKellyBK,11879,112,2693,7,312,6,1,Twitter for iPad,341,1,287,629
26009167,maureenmfarrell,3118,1089,3041,239,124,2,5,web,155,231,108,494
15823893,bored2tears,4260,385,70794,1867,177,1,21,twitthat,202,405,1,608
17249855,BlueFielder,2868,112,46980,8,134,7,2,TweetDeck,143,83,300,526
211672543,mwaizman,9568,284,2955,15,10,8,1,Twitter for iPhone,312,1,320,633
37355062,TOP10STOCKS,1596,1915,1565,2,38,4,33,web,82,440,240,762
77304134,MatthewPhillips,4038,914,1606,2788,190,1,22,TweetDeck,191,411,1,603
19790872,ZacksResearch,4831,423,22503,16,189,1,8,HootSuite,219,308,1,528
118854485,julpepitone,3840,359,8476,22,218,3,2,Tweet Button,188,83,190,461
27922928,HCPG,9595,70,36586,21,442,7,1,StockTwits Web,313,1,300,614
145343433,Dan_Dicker,5238,211,4169,2,185,2,2,TweetDeck,232,83,108,423
378270208,a_martinoro,2655,703,22182,3198,131,8,2,TweetDeck,133,83,320,536
462950376,Aapl_pain,1524,45,3685,3,52,6,12,StockTwits Web,75,358,287,720
14057492,TALENTEDBLONDE,6319,6244,18480,2622,191,1,4,Tweet Button,257,195,1,453
79099132,CleverTrade,5410,4832,5560,300,30,1,5,web,242,231,1,474
102754598,JohnCFierce,7304,341,9750,3,352,10,1,TweetDeck,275,1,343,619
22017602,shibanijoshi,21033,706,8030,9,871,3,1,Twitter for iPhone,402,1,190,593
166223127,GBMhomebroker,3527,524,12857,68,90,2,3,Twitter for Mac,174,150,108,432
15110357,ReutersBiz,529474,18,56419,1,10185,2,1,TweetDeck,486,1,108,595
193542064,CAMAR024,1373,83,6128,0,40,13,11,Twitter for Mac,61,346,377,784
172514509,SchaeferStreet,1601,397,3011,1,58,3,62,Tweet Button,84,471,190,745
82142636,1nvestor,5238,197,50602,842,264,30,1,Twitter for iPhone,232,1,445,678
15172980,RyanMFierce,3659,564,3547,15,195,1,15,TweetDeck,183,372,1,556
27990259,danshep55,3342,26,32626,10,90,3,2,StockTwits Web,165,83,190,438
18208763,scotthensley,15628,1459,6589,2158,862,3,1,HootSuite,374,1,190,565
40045763,CBOE_TV,5450,977,3495,0,228,18,1,bitly,243,1,407,651
148415631,chrishelman,1673,612,1895,2,59,17,3,Tweet Button,88,150,400,638
94107477,AndriaCheng,1540,35,508,0,35,3,80,Tweet Button,76,479,190,745
244969675,BioDueDiligence,3165,193,5708,221,111,2,3,Twitter for Android,157,150,108,415
29881875,Xconomy,12450,489,6111,21,682,1,2,TweetDeck,347,83,1,431
314005753,TheDealNewsroom,1839,1071,3462,4,76,7,3,web,97,150,300,547
18560146,ZorTrades,12166,190,32822,7,545,1,2,web,342,83,1,426
76511168,SPCapitalIQ,2172,314,860,1,87,11,2,Spredfast High Security,110,83,356,549
279585313,bnichols9883,11810,460,2330,23,20,1,2,Twitter for iPhone,339,83,1,423
52247245,CoderTrader,4098,694,54893,598,199,2,2,StockTwits Web,194,83,108,385
17049899,daytrend,10349,199,52093,6,440,1,2,TweetDeck,325,83,1,409
28723984,TraderOfFutures,27136,26669,21859,8,246,2,1,web,419,1,108,528
62562916,markflowchatter,7568,78,2142,6,238,4,1,TweetDeck,283,1,240,524
23344188,JoeSaluzzi,9636,276,10161,7,374,1,2,TweetDeck,314,83,1,398
37284991,ukarlewitz,5327,192,19402,4,214,1,3,TweetDeck,237,150,1,388
52846066,Medtronic,9112,348,857,2,316,1,2,Medtronic,307,83,1,391
37555599,johnwelshtrade,10156,0,21024,0,519,3,1,web,322,1,190,513
247946309,Jamtrades,2183,27,12880,1,44,6,2,StockTwits Web,113,83,287,483
458989076,pennies4stocks,1223,226,5188,32,31,11,12,web,45,358,356,759
112872946,BioStocks,4302,56,11643,17,128,1,4,Tweet Button,207,195,1,403
521737922,tradingplays,8394,88,2818,443,18,1,2,web,296,83,1,380
30694719,goldmansachs666,1363,1282,26387,0,59,5,10,Mobile Web (M2),59,331,264,654
348345136,chrisadamsmkts,20831,293,18134,3,897,2,1,web,401,1,108,510
19717430,zbiotech,1155,108,3070,6,32,15,18,TweetDeck,40,388,387,815
69401246,jgamorin,4192,353,3043,362,77,1,4,web,197,195,1,393
193053386,HedgeyeSnakeye,1561,60,674,1,47,5,4,web,79,195,264,538
12648652,brianaguilar,2787,538,2100,342,158,1,19,TweetDeck,139,396,1,536
28402887,CapitalObserver,1831,241,4843,13,68,11,2,TweetDeck,95,83,356,534
17692690,carminegallo,7850,449,5441,2,390,3,1,TweetDeck,289,1,190,480
58808528,JackDamn,3385,40,17137,140,193,2,2,web,169,83,108,360
473501808,OptionsTrader31,1556,161,2928,33,42,3,7,web,78,288,190,556
191434404,hainsworthtv,3331,366,8716,118,109,2,2,HootSuite,164,83,108,355
60475529,Trap_Jesus,2953,944,118369,116,103,1,8,Echofon,150,308,1,459
272125054,MarketSmith,3278,501,1439,14,91,2,2,HootSuite,160,83,108,351
63061242,deltaStrikejj,2020,187,15410,35,88,2,5,TweetDeck,101,231,108,440
140087723,pennystocksusa,3138,58,8294,22,49,2,2,web,156,83,108,347
14072950,mikesimonsen,6287,735,9522,149,294,1,2,web,255,83,1,339
48330559,wddeguzman,3603,979,7930,39,63,1,4,web,180,195,1,376
46165612,devinbanerjee,2346,1450,4662,0,101,2,3,Twitter for iPad,121,150,108,379
44498216,Dmoneydtx,1386,80,9681,35,44,14,3,Twitter for iPhone,62,150,381,593
222876742,AmandaMLilly,1319,528,2072,46,33,3,20,TweetDeck,56,399,190,645
43111757,sharptraders,5701,5516,15698,25,82,1,2,HootSuite,246,83,1,330
348772885,ColfaxCapital,1781,832,12882,535,44,3,3,TweetDeck,94,150,190,434
92451364,optionbob,3061,691,3963,0,165,1,5,StockTwits Web,152,231,1,384
166711687,ianestepan,2205,231,2066,45,58,2,3,web,116,150,108,374
20159497,dschorrnyc,1471,816,52199,410,62,3,6,TweetDeck,70,259,190,519
60622883,jimiuorio,4871,220,8023,789,127,4,1,Twitter for iPad,222,1,240,463
67683728,Trefis,1691,233,8182,0,102,7,2,twitterfeed,89,83,300,472
192533447,StockTwits50,4247,1,3454,0,189,5,1,StockTwits Web,201,1,264,466
262328036,211JPizzle,9780,582,24339,285,0,2,1,TweetCaster for Android,318,1,108,427
40982362,KateKellyCNBC,9715,298,1663,11,312,2,1,web,317,1,108,426
9059662,reditum,5480,1084,16484,71,162,3,1,Tweet Button,244,1,190,435
171567873,alistairmbarr,1479,190,1558,2,51,2,18,Twitter for BlackBerryå¨,71,388,108,567
18952948,ETFtrends,8650,717,15984,355,361,2,1,HootSuite,300,1,108,409
14577594,MattRosoff,5223,441,14323,8,337,3,1,TweetDeck,230,1,190,421
266074772,ParagonCap,1400,80,15036,186,59,3,6,web,63,259,190,512
12444302,BlackCanseco,7960,1694,130953,921,349,2,1,Twitter for Android,291,1,108,400
22814481,schaeffers,2938,866,13783,0,129,1,4,HootSuite,148,195,1,344
368615592,TrueMarketAI,1489,1892,89180,3,28,4,3,txt,72,150,240,462
193745754,FOURTY_SK,2676,784,20607,334,6,1,5,Twitter for iPhone,135,231,1,367
18030811,LisaBrownSTL,2863,419,1380,9,202,1,4,Tweet Button,142,195,1,338
214479702,TMFJMo,1520,217,7008,351,42,2,7,Twitter for iPad,74,288,108,470
99033718,stockhaven,56623,58967,4454,4,454,1,1,web,458,1,1,460
55762792,mitchdeg,4383,95,8311,34,255,1,2,Twitterrific,209,83,1,293
100024370,Livevol_Pro,2571,12,6694,2,102,1,5,StockTwits Web,130,231,1,362
28858121,RobertWeinstein,1275,99,5173,2,25,8,3,Tweet Button,50,150,320,520
16614442,TheMotleyFoolUK,6800,212,10558,1,270,2,1,SocialOomph,271,1,108,380
18587683,CapCube,1069,301,21114,42,37,5,15,web,32,372,264,668
19807030,skmusic,6632,1228,40678,63,138,2,1,Echofon,264,1,108,373
602386160,HumOnTheMarkets,1404,76,782,0,38,15,2,web,64,83,387,534
16344018,tjtakes,2505,471,37973,1504,147,1,5,Twitter for Android,128,231,1,360
632341632,AndyBiotech,955,598,1401,269,15,8,30,TweetDeck,24,435,320,779
70498392,OptionAlert,31105,2243,204,0,20,1,1,HootSuite,430,1,1,432
166597717,theflynews,2029,66,81115,6,76,1,10,twitterfeed,102,331,1,434
18750082,nyckennedy,2215,1135,6421,163,69,1,6,HootSuite,117,259,1,377
14933262,InvestorPlace,3503,503,5505,3,111,4,1,StockTwits Web,172,1,240,413
66172538,SconsetCapital,3734,2247,37226,934,128,1,2,TweetDeck,185,83,1,269
328741551,bluser12,965,227,15700,157,30,24,6,web,26,259,432,717
14431096,JeffreyLin,2437,468,11560,19,110,1,4,TweetDeck,127,195,1,323
28569307,Mark_SWAGG,1469,859,19265,173,4,2,5,web,69,231,108,408
285738285,Estimize,2360,230,2139,0,89,21,1,estimize,122,1,423,546
36309263,50Pips,20037,53,102217,5,888,1,1,TweetDeck,399,1,1,401
61035388,Urbane_Gorilla,2930,737,112420,22,152,5,1,Tweet Button,147,1,264,412
136842204,hertcapital,3549,1204,13661,5,128,1,2,HootSuite,175,83,1,259
18944615,JustinPulitzer,922,289,12640,266,26,15,9,iOS,18,320,387,725
10433782,mercnews,18188,1123,81184,20,1248,1,1,web,391,1,1,393
468703129,CNBCJosh,1161,98,718,0,33,3,7,web,41,288,190,519
